,Year,Month,Day,Hour,GHI,Energy,conversion_efficiency
5576,2012,5,9,5,64,0.0,0.049977853866393245
5575,2012,5,8,5,62,0.0,0.049977853866393245
3005,2018,5,6,5,3,0.0,0.050892634134724696
5555,2012,4,28,5,12,0.0,0.049977853866393245
5554,2012,4,27,5,17,0.0,0.049977853866393245
3003,2018,5,5,5,5,0.0,0.050892634134724696
5552,2012,4,26,5,29,0.0,0.049977853866393245
3000,2018,5,4,5,2,0.0,0.050892634134724696
5551,2012,4,25,5,12,0.0,0.049977853866393245
2998,2018,5,3,5,2,0.0,0.050892634134724696
2996,2018,5,2,5,2,0.0,0.050892634134724696
4146,2020,5,23,5,7,0.0,0.050892634134724696
2994,2018,5,1,5,1,0.0,0.050892634134724696
4148,2020,5,24,5,16,0.0,0.050892634134724696
4150,2020,5,25,5,11,0.0,0.050892634134724696
5549,2012,4,24,5,7,0.0,0.049977853866393245
4152,2020,5,26,5,16,0.0,0.050892634134724696
4153,2020,5,27,5,13,0.0,0.050892634134724696
2992,2018,4,30,5,2,0.0,0.050892634134724696
4155,2020,5,28,5,18,0.0,0.050892634134724696
4156,2020,5,29,5,34,0.0,0.050892634134724696
4157,2020,5,30,5,36,0.0,0.050892634134724696
2990,2018,4,29,5,2,0.0,0.050892634134724696
5557,2012,4,29,5,13,0.0,0.049977853866393245
3007,2018,5,7,5,8,0.0,0.050892634134724696
3009,2018,5,8,5,7,0.0,0.050892634134724696
3011,2018,5,9,5,3,0.0,0.050892634134724696
9263,2020,9,3,5,2,0.0,0.049977853866393245
5573,2012,5,7,5,11,0.0,0.049977853866393245
9266,2020,9,4,5,2,0.0,0.049977853866393245
7948,2018,4,18,5,9,0.0,0.049977853866393245
9268,2020,9,5,5,2,0.0,0.049977853866393245
5571,2012,5,6,5,20,0.0,0.049977853866393245
5570,2012,5,5,5,23,0.0,0.049977853866393245
3031,2018,5,18,5,11,0.0,0.050892634134724696
5568,2012,5,4,5,11,0.0,0.049977853866393245
3029,2018,5,17,5,13,0.0,0.050892634134724696
9261,2020,9,2,5,1,0.0,0.049977853866393245
5566,2012,5,3,5,22,0.0,0.049977853866393245
3027,2018,5,16,5,18,0.0,0.050892634134724696
5562,2012,5,2,5,13,0.0,0.049977853866393245
5561,2012,5,1,5,14,0.0,0.049977853866393245
3025,2018,5,15,5,3,0.0,0.050892634134724696
3021,2018,5,14,5,2,0.0,0.050892634134724696
3019,2018,5,13,5,2,0.0,0.050892634134724696
5559,2012,4,30,5,20,0.0,0.049977853866393245
3017,2018,5,12,5,2,0.0,0.050892634134724696
3015,2018,5,11,5,4,0.0,0.050892634134724696
3013,2018,5,10,5,9,0.0,0.050892634134724696
7941,2018,4,17,5,11,0.0,0.049977853866393245
9208,2020,8,5,5,26,0.0,0.049977853866393245
5602,2012,6,2,5,48,0.0,0.049977853866393245
9206,2020,8,4,5,41,0.0,0.049977853866393245
5623,2012,6,19,5,99,0.0,0.049977853866393245
5622,2012,6,18,5,98,0.0,0.049977853866393245
9110,2020,5,21,5,87,0.188729718,0.049977853866393245
5621,2012,6,17,5,112,0.0,0.049977853866393245
5617,2012,6,16,5,33,0.0,0.049977853866393245
5616,2012,6,15,5,56,0.0,0.049977853866393245
9112,2020,5,23,5,11,0.0,0.049977853866393245
5615,2012,6,14,5,70,0.0,0.049977853866393245
9113,2020,5,24,5,65,0.0,0.049977853866393245
5614,2012,6,13,5,105,0.0,0.049977853866393245
9114,2020,5,25,5,30,0.0,0.049977853866393245
5613,2012,6,12,5,112,0.0,0.049977853866393245
9116,2020,5,26,5,57,0.0,0.049977853866393245
9118,2020,5,27,5,57,0.0,0.049977853866393245
9119,2020,5,28,5,31,0.0,0.049977853866393245
9121,2020,5,29,5,100,0.0,0.049977853866393245
9123,2020,5,30,5,103,0.0,0.049977853866393245
5612,2012,6,11,5,52,0.0,0.049977853866393245
9126,2020,5,31,5,100,0.0,0.049977853866393245
9127,2020,6,1,5,10,0.0,0.049977853866393245
9129,2020,6,2,5,98,0.0,0.049977853866393245
5624,2012,6,20,5,99,0.0,0.049977853866393245
9108,2020,5,20,5,83,0.188728586,0.049977853866393245
5625,2012,6,21,5,33,0.0,0.049977853866393245
5626,2012,6,22,5,111,0.0,0.049977853866393245
5653,2012,7,13,5,36,0.0,0.049977853866393245
5652,2012,7,12,5,80,0.0,0.049977853866393245
5651,2012,7,11,5,79,0.0,0.049977853866393245
5650,2012,7,10,5,80,0.0,0.049977853866393245
5649,2012,7,9,5,86,0.0,0.049977853866393245
5648,2012,7,8,5,52,0.0,0.049977853866393245
5647,2012,7,7,5,81,0.0,0.049977853866393245
5646,2012,7,6,5,77,0.0,0.049977853866393245
5645,2012,7,5,5,58,0.0,0.049977853866393245
5644,2012,7,4,5,79,0.0,0.049977853866393245
9131,2020,6,3,5,36,0.0,0.049977853866393245
5642,2012,7,2,5,83,0.0,0.049977853866393245
7952,2018,4,20,5,17,0.0,0.049977853866393245
5639,2012,6,30,5,34,0.02211111,0.049977853866393245
5635,2012,6,29,5,57,0.0,0.049977853866393245
5634,2012,6,28,5,51,0.0,0.049977853866393245
5633,2012,6,27,5,94,0.0,0.049977853866393245
5632,2012,6,26,5,107,0.0,0.049977853866393245
5631,2012,6,25,5,96,0.0,0.049977853866393245
5628,2012,6,24,5,18,0.0,0.049977853866393245
9106,2020,5,19,5,83,0.188727468,0.049977853866393245
5627,2012,6,23,5,56,0.0,0.049977853866393245
5641,2012,7,1,5,77,0.0,0.049977853866393245
9133,2020,6,4,5,15,0.0,0.049977853866393245
9134,2020,6,5,5,9,0.0,0.049977853866393245
9137,2020,6,6,5,73,0.0,0.049977853866393245
5607,2012,6,6,5,108,0.0,0.049977853866393245
5606,2012,6,5,5,104,0.0,0.049977853866393245
9185,2020,7,18,5,62,0.0,0.049977853866393245
9186,2020,7,19,5,25,0.0,0.049977853866393245
9187,2020,7,20,5,43,0.0,0.049977853866393245
9188,2020,7,21,5,19,0.0,0.049977853866393245
9189,2020,7,22,5,42,0.0,0.049977853866393245
9190,2020,7,23,5,63,0.0,0.049977853866393245
7950,2018,4,19,5,13,0.0,0.049977853866393245
5604,2012,6,4,5,94,0.0,0.049977853866393245
9181,2020,7,17,5,71,0.0,0.049977853866393245
9193,2020,7,24,5,57,0.0,0.049977853866393245
9195,2020,7,26,5,52,0.0,0.049977853866393245
9196,2020,7,27,5,11,0.0,0.049977853866393245
9197,2020,7,28,5,55,0.0,0.049977853866393245
9199,2020,7,29,5,44,0.0,0.049977853866393245
5603,2012,6,3,5,106,0.0,0.049977853866393245
9201,2020,7,30,5,27,0.0,0.049977853866393245
9202,2020,7,31,5,38,0.0,0.049977853866393245
9203,2020,8,1,5,30,0.0,0.049977853866393245
9204,2020,8,2,5,17,0.0,0.049977853866393245
9205,2020,8,3,5,43,0.0,0.049977853866393245
9194,2020,7,25,5,39,0.0,0.049977853866393245
5657,2012,7,15,5,71,0.0,0.049977853866393245
9180,2020,7,16,5,76,0.0,0.049977853866393245
9178,2020,7,14,5,55,0.0,0.049977853866393245
5611,2012,6,10,5,102,0.0,0.049977853866393245
9140,2020,6,7,5,104,0.0,0.049977853866393245
5610,2012,6,9,5,106,0.0,0.049977853866393245
5609,2012,6,8,5,105,0.0,0.049977853866393245
9145,2020,6,8,5,110,0.0,0.049977853866393245
9147,2020,6,9,5,36,0.0,0.049977853866393245
9149,2020,6,10,5,106,0.0,0.049977853866393245
9151,2020,6,11,5,109,0.0,0.049977853866393245
9159,2020,6,12,5,111,0.0,0.049977853866393245
5608,2012,6,7,5,109,0.0,0.049977853866393245
9179,2020,7,15,5,16,0.0,0.049977853866393245
9162,2020,6,13,5,81,0.0,0.049977853866393245
9166,2020,6,15,5,95,0.0,0.049977853866393245
9167,2020,7,5,5,85,0.0,0.049977853866393245
9168,2020,7,6,5,84,0.0,0.049977853866393245
9169,2020,7,7,5,78,0.0,0.049977853866393245
9170,2020,7,8,5,79,0.0,0.049977853866393245
9171,2020,7,9,5,45,0.0,0.049977853866393245
