,Year,Month,Day,GHI,Energy,conversion_efficiency
7464,2014,2,1,33,0.0,0.021076165549330592
7403,2014,1,1,41,0.0,0.021076165549330592
7402,2014,1,1,26,0.0,0.021076165549330592
2001,2013,6,1,129,0.200786948,0.02538197271449368
7341,2013,12,1,160,0.0,0.021076165549330592
7340,2013,12,1,87,0.0,0.021076165549330592
7293,2013,11,1,124,0.104000002,0.021076165549330592
2044,2013,7,1,182,0.174023569,0.02538197271449368
7231,2013,3,1,18,0.0,0.021076165549330592
7230,2013,3,1,11,0.0,0.021076165549330592
7180,2013,2,1,185,0.0,0.021076165549330592
7179,2013,2,1,96,0.0,0.021076165549330592
7118,2013,1,1,124,0.0,0.021076165549330592
7117,2013,1,1,50,0.0,0.021076165549330592
2090,2013,8,1,122,0.0,0.02538197271449368
2091,2013,8,1,212,0.148775071,0.02538197271449368
2300,2014,7,1,147,0.042500004,0.02538197271449368
2301,2014,7,1,263,0.478000015,0.02538197271449368
6545,2021,9,1,213,0.198500007,0.026988235229409144
6494,2021,4,1,188,0.0,0.026988235229409144
2522,2016,5,1,63,0.0,0.02538197271449368
5956,2019,3,1,72,0.0,0.026988235229409144
5955,2019,3,1,21,0.0,0.026988235229409144
5915,2019,2,1,17,0.0,0.026988235229409144
5844,2018,10,1,24,0.0,0.026988235229409144
2560,2016,6,1,186,0.0,0.02538197271449368
5758,2018,4,1,65,0.0,0.026988235229409144
5720,2018,3,1,110,0.160986185,0.026988235229409144
2606,2016,7,1,189,0.083000004,0.02538197271449368
2607,2016,7,1,283,0.281000018,0.02538197271449368
5686,2018,2,1,11,0.0,0.026988235229409144
5666,2017,12,1,25,0.0,0.026988235229409144
5638,2017,11,1,17,0.0,0.026988235229409144
5637,2017,11,1,13,0.0,0.026988235229409144
2646,2016,8,1,69,0.0,0.02538197271449368
5584,2017,10,1,60,0.022000002,0.026988235229409144
5583,2017,10,1,56,0.0,0.026988235229409144
5543,2017,9,1,217,0.282000005,0.026988235229409144
5528,2017,8,1,289,0.431000024,0.026988235229409144
6007,2019,4,1,175,0.0,0.026988235229409144
7513,2014,3,1,38,0.014500001,0.021076165549330592
6008,2019,4,1,270,0.543500066,0.026988235229409144
2483,2015,8,1,214,0.274090528,0.02538197271449368
2342,2014,8,1,192,0.238000005,0.02538197271449368
6439,2021,3,1,118,0.0,0.026988235229409144
6438,2021,3,1,36,0.0,0.026988235229409144
6402,2021,1,1,1,0.0,0.026988235229409144
6382,2020,11,1,121,0.161928609,0.026988235229409144
2376,2015,5,1,227,0.144517839,0.02538197271449368
6337,2020,10,1,228,0.058500003,0.026988235229409144
6336,2020,10,1,114,0.0,0.026988235229409144
6295,2020,9,1,73,0.023000002,0.026988235229409144
6294,2020,9,1,46,0.033,0.026988235229409144
6275,2020,7,1,107,0.17750001,0.026988235229409144
2413,2015,6,1,195,0.061110944,0.02538197271449368
2414,2015,6,1,291,0.38711682,0.02538197271449368
6238,2020,4,1,160,0.018000001,0.026988235229409144
6202,2020,3,1,86,0.161692128,0.026988235229409144
2444,2015,7,1,140,0.056895301,0.02538197271449368
6110,2019,10,1,68,0.0,0.026988235229409144
6109,2019,10,1,101,0.0,0.026988235229409144
2482,2015,8,1,124,0.003178268,0.02538197271449368
6072,2019,9,1,200,0.424000025,0.026988235229409144
11718,2018,1,1,320,0.300999999,0.019930263951486813
3490,2019,9,1,41,0.0,0.02538197271449368
158,2011,7,1,11,0.0,0.006189134347155545
12816,2020,9,1,133,0.155499995,0.011675860051742764
12003,2014,2,1,146,0.0165,0.01986755472438175
12004,2014,2,1,115,0.025000002,0.01986755472438175
38,2021,6,1,1,0.0,0.0
12045,2016,1,1,122,0.205500007,0.01986755472438175
11788,2019,2,1,474,0.035500001,0.019930263951486813
12494,2018,12,1,26,0.044500001,0.01465009186851987
12046,2016,1,1,166,0.13350001,0.01986755472438175
12523,2019,2,1,193,0.0,0.01465009186851987
12524,2019,2,1,110,0.0,0.01465009186851987
12582,2021,1,1,8,0.0,0.01465009186851987
12272,2021,2,1,115,0.0,0.01986755472438175
12785,2019,2,1,36,0.0,0.011675860051742764
12087,2018,1,1,251,0.23300001,0.01986755472438175
12088,2018,1,1,176,0.142500013,0.01986755472438175
12271,2021,2,1,178,0.0,0.01986755472438175
211,2011,8,1,26,0.0,0.006189134347155545
12626,2021,2,1,68,0.0,0.01465009186851987
12218,2021,1,1,47,0.0,0.01986755472438175
12158,2019,2,1,275,0.0055,0.01986755472438175
12157,2019,2,1,351,0.014500001,0.01986755472438175
98,2011,6,1,36,0.0,0.006189134347155545
99,2011,6,1,105,0.0,0.006189134347155545
11975,2013,2,1,286,0.529000044,0.01986755472438175
246,2012,5,1,14,0.0,0.006189134347155545
11789,2019,2,1,418,0.024500001,0.019930263951486813
12711,2014,2,1,20,0.0,0.011675860051742764
11855,2021,1,1,215,0.0,0.019930263951486813
11912,2021,2,1,227,0.0,0.019930263951486813
61,2021,7,1,1,0.0,0.0
11913,2021,2,1,198,0.0,0.019930263951486813
12695,2013,2,1,22,0.0,0.011675860051742764
11974,2013,2,1,364,0.761000037,0.01986755472438175
12627,2021,2,1,50,0.027002983,0.01465009186851987
12455,2018,1,1,98,0.068000004,0.01465009186851987
159,2011,7,1,43,0.0,0.006189134347155545
12456,2018,1,1,28,0.009000001,0.01465009186851987
299,2012,6,1,36,0.0,0.006189134347155545
12367,2014,2,1,59,0.0,0.01465009186851987
12366,2014,2,1,85,0.001,0.01465009186851987
360,2012,7,1,77,0.0,0.006189134347155545
359,2012,7,1,21,0.0,0.006189134347155545
12412,2016,1,1,91,0.030000001,0.01465009186851987
11856,2021,1,1,181,0.0,0.019930263951486813
300,2012,6,1,107,0.0,0.006189134347155545
1805,2012,9,2,110,0.0,0.02538197271449368
1603,2012,5,2,28,0.0,0.02538197271449368
7515,2014,3,2,22,0.018000001,0.021076165549330592
7514,2014,3,2,222,0.0,0.021076165549330592
8298,2019,4,2,134,0.059500005,0.021076165549330592
8299,2019,4,2,142,0.312000006,0.021076165549330592
8336,2019,11,2,197,0.079000004,0.021076165549330592
7467,2014,2,2,189,0.0,0.021076165549330592
8407,2020,2,2,80,0.0,0.021076165549330592
8447,2020,3,2,153,0.000875,0.021076165549330592
1952,2013,5,2,3,0.0,0.02538197271449368
1545,2012,4,2,79,0.0,0.02538197271449368
1953,2013,5,2,191,0.013124408,0.02538197271449368
1544,2012,4,2,16,0.0,0.02538197271449368
7466,2014,2,2,100,0.0,0.021076165549330592
1604,2012,5,2,4,0.0,0.02538197271449368
8503,2020,11,2,175,0.166500002,0.021076165549330592
8542,2020,12,2,169,0.031500001,0.021076165549330592
1503,2011,10,2,52,0.0,0.02538197271449368
12220,2021,1,2,113,0.0,0.01986755472438175
8577,2021,1,2,19,0.0,0.021076165549330592
7405,2014,1,2,50,0.0,0.021076165549330592
